customer_name_order,order_id,notes,name_key,customer_id,customer_name,address,city,state,zip,lat,lon
Bar Volpe,,,bar volpe,3.0,Bar Volpe,170 W Broadway,Boston,MA,2127,42.3404121,-71.0530365
Fox & The Knife,,,fox the knife,4.0,Fox & The Knife,28 West Broadway ,South Boston,MA,2127,42.3406725,-71.0535353
Dryft Revere,,,dryft revere,7.0,Dryft Revere,500 Ocean Ave,Revere,MA,2151,42.4141023,-70.9908168
Bar Mezzana,,,bar mezzana,13.0,Bar Mezzana,360 Harrison Avenue,Boston,MA,2118,42.344587,-71.0635124
Black Lamb,,,black lamb,14.0,Black Lamb,571 Tremont Street,Boston,MA,2118,42.343603,-71.072514
Bar Vlaha,,,bar vlaha,16.0,Bar Vlaha,1653 Beacon Street,Brookline,MA,2445,42.3392407,-71.1366301
Beacon Hill Hotel,,,beacon hill hotel,395.0,Beacon Hill Hotel,25 Charles Street ,Boston,MA,2114,42.3676675,-71.0803675
Dive Bar,,,dive bar,29.0,Dive Bar,100 High Street Place ,Boston,MA,2110,42.3259717,-71.1208251
Brae Burn Country Club,,,brae burn country club,47.0,Brae Burn Country Club,326 Fuller Street,Newton,MA,2465,42.3331651,-71.2344326
Puritan and Co,,,puritan and co,55.0,Puritan and Co,1166 Cambridge St.,Cambridge,MA,2139,42.373089,-71.0968126
Capers Catering,,,capers catering,61.0,Capers Catering,30R Pine St.,Stoneham,MA,2180,42.4788344,-71.0965961
Committee,,,committee,75.0,Committee,54 Nothern Ave,Boston,MA,2210,42.347547,-71.040645
Contessa,,,contessa,415.0,Contessa,15 Arlington St ,Boston,MA,2116,42.352827,-71.0715847
Cunard Tavern,,,cunard tavern,77.0,Cunard Tavern,24 Orleans St.,East Boston,MA,2114,42.3673549,-71.0387427
O Ya,,,o ya,81.0,O Ya,9 East,St Boston,MA,2111,42.3513538,-71.0569341
TD Garden,,,td garden,84.0,TD Garden,100 Legends Way,Boston,MA,2114,42.3662986,-71.0621622
Desnuda Cocina & Bar,,,desnuda cocina bar,86.0,Desnuda Cocina & Bar,647 Tremont St.,Boston,MA,2118,42.3422149,-71.0754047
Eastern Standard,,,eastern standard,426.0,Eastern Standard,775 Beacon St ,Boston,MA,2215,42.3484214,-71.0990975
Eataly Boston Pasta Retail,,,eataly boston pasta retail,96.0,Eataly Boston Pasta Retail,800 Boylston ST,Boston,MA,2199,42.3471718,-71.0825069
Eataly Boston Terra,,,eataly boston terra,98.0,Eataly Boston Terra,800 Boylston St,Boston,MA,2199,42.3471718,-71.0825069
Bistro du Midi,,,bistro du midi,130.0,Bistro du Midi,272 Boylston Street,Boston,MA,2116,42.3519692,-71.0697119
The Banks Fish House,,,the banks fish house,133.0,The Banks Fish House,406 Stuart St.,Boston,MA,2116,42.3488696,-71.0740539
Faccia a Faccia,,,faccia a faccia,434.0,Faccia a Faccia,278 Newbury St ,Boston,MA,2116,42.3490532,-71.0836528
Little Donkey,,,little donkey,147.0,Little Donkey,505 Massachusetts Ave,Cambridge,MA,2139,42.3643284,-71.101556
Toro,,,toro,149.0,Toro,1704 Washington St.,Boston,MA,2118,42.3369711,-71.0759287
Kaia,,,kaia,159.0,Kaia,380 Harrison Ave,Boston,MA,2118,42.3447795,-71.0637763
Gigi's,,,gigis,161.0,Gigi's,431 Columbus Avenue,Boston,MA,2116,42.3440703,-71.0777948
Ilona,,,ilona,162.0,Ilona,783 Tremont St.,Boston,MA,2118,42.339304,-71.0806882
Kava,,,kava,163.0,Kava,315 Shawmut Ave,Boston,MA,2118,42.3423765,-71.0704578
The Oceanaire Seafood Room Boston,,,the oceanaire seafood room boston,436.0,The Oceanaire Seafood Room Boston,40 Court St ,Boston,MA,2108,42.3589365,-71.0592762
Lucca Boston North End,,,lucca boston north end,177.0,Lucca Boston North End,226 Hanover St,Boston,MA,2113,42.363134,-71.0553013
Sheraton Boston Hotel,,,sheraton boston hotel,189.0,Sheraton Boston Hotel,39 Dalton Street,Boston,MA,2199,42.3465108,-71.0838672
Merai Bar,,,merai bar,445.0,Merai Bar,14 Harvard St,Brookline,MA,2445,42.3336291,-71.1187192
Mida EAST BOSTON,,,mida east boston,197.0,Mida East Boston,65 Lewis Street,East Boston,MA,2128,42.3676611,-71.0423316
Mida Fenway,,,mida fenway,446.0,Mida Fenway,1391 Boylston St ,Boston,MA,2215,42.3439597,-71.1003557
Mida NEWTON,,,mida newton,198.0,Mida -NEWTON,261 Walnut St,Newton,MA,2460,42.3519581,-71.2075896
Monument,,,monument,209.0,Monument,251 Main St.,Charlestown,MA,2129,42.376999,-71.066267
Waverly,,,waverly,210.0,Waverly,231 Bunker Hill Street,Charlestown,MA,2129,42.3794795,-71.0633001
Moona,,,moona,211.0,Moona,243 Hampshire St,Cambridge,MA,2139,42.3741265,-71.101103
Mooncussers,,,mooncussers,214.0,Mooncussers,304 Stuart St.,Boston,MA,2116,42.3498359,-71.0707978
Reelhouse East Boston,,,reelhouse east boston,220.0,Reelhouse EAST BOSTON,6 New St.,E. Boston,MA,2128,42.3708806,-71.0438754
Neptune Oyster Bar,,,neptune oyster bar,224.0,Neptune Oyster Bar,63 Salem St.,Boston,MA,2113,42.3631985,-71.0559541
Newburyport Fish Market,,,newburyport fish market,225.0,Newburyport Fish Market,75 Water,St. Newburyport,MA,1950,42.8108666,-70.8655782
Nine Restaurant,,,nine restaurant,227.0,Nine Restaurant,9 Park Street,Place Boston,MA,2108,42.3574545,-71.0627266
Oak Bistro,,,oak bistro,233.0,Oak Bistro,1287 Cambridge St.,Cambridge,MA,2139,42.3736023,-71.0988908
Pagu,,,pagu,239.0,Pagu,310 Mass Ave,Cambridge,MA,2139,42.2635521,-71.1087369
Pammy's,,,pammys,449.0,Pammy's,928 Massachusetts Ave ,Cambridge,MA,2139,42.3684,-71.1091961
Sycamore,,,sycamore,256.0,Sycamore,755 Beacon St.,Newton,MA,2459,42.3306503,-71.1917304
Alden & Harlow,,,alden harlow,461.0,Alden & Harlow,40 Brattle St,Cambridge,MA,2138,42.3735328,-71.1214761
Waypoint,,,waypoint,271.0,Waypoint,1030 Massachusetts Ave,Cambridge,MA,2138,42.3700285,-71.1126847
Seaport Hotel,,,seaport hotel,274.0,Seaport Hotel,1 Seaport Lane,Boston,MA,2210,42.3491401,-71.0415199
Select Oyster Bar,,,select oyster bar,277.0,Select Oyster Bar,50 Gloucester,St. Boston,MA,2115,42.3486304,-71.0840477
Somaek,,,somaek,286.0,Somaek,11 Temple Pl.,Boston,MA,2111,42.3554662,-71.0626576
Somerset Club,,,somerset club,287.0,Somerset Club,42 Beacon Street,Boston,MA,2108,42.358638,-71.0609952
Spoke Wine Bar,,,spoke wine bar,293.0,Spoke Wine Bar,89 Holland St.,Somerville,MA,2144,42.3988942,-71.1243071
Prairie Fire,,,prairie fire,468.0,Prairie Fire,242 Harvard St ,Brookline,MA,2446,42.3412654,-71.1212342
Steel and Rye,,,steel and rye,469.0,Steel and Rye,95 Eliot St,Milton,MA,2186,42.2699516,-71.072405
Baleia,,,baleia,311.0,Baleia,264 E. Berkeley St.,Boston,MA,2118,42.3432598,-71.0628033
Gufo,,,gufo,312.0,Gufo,660 Cambridge St,Cambridge,MA,2141,42.3718441,-71.087607
Salty Pig,,,salty pig,313.0,Salty Pig,130 Dartmouth St,Boston.,MA,2116,42.346972,-71.076018
SRV,,,srv,314.0,SRV,569 Columbus Ave,Boston,MA,2118,42.3409018,-71.0816593
STK Boston,,,stk boston,321.0,STK Boston,222 Berkeley St.,Boston,MA,2116,42.3514077,-71.0730278
Troquet on South,,,troquet on south,484.0,Troquet on South,107 South St ,Boston,MA,2111,42.3514698,-71.0574217
Uni,,,uni,331.0,Uni,370 Commonwealth Ave,- Elliot Hotel Boston,MA,2215,42.348962,-71.088566
