Customer Name,Street Address,Unit,City,State,ZIP,Latitude,Longitude
1928 Beacon Hill LLC,97 Mt. Vernon St,,Boston,MA,02108,42.3580849,-71.0697321
AC Kitchen,161 Merrimac St,,Woburn,MA,01801,42.5149581,-71.1486024
Bar Volpe,170 W Broadway,,Boston,MA,02127,42.3404121,-71.0530365
Fox & The Knife,28 West Broadway ,,South Boston,MA,02127,42.3427325,-71.0564945
Alba Restaurant,1486 Hancock Street,,Quincy,MA,02169,42.2486582,-71.0018076
Alcove,131 Beverly Street,,Boston,MA,02114,42.3646125,-71.0586788
Dryft Revere,500 Ocean Ave,,Revere,MA,02151,42.4141023,-70.9908168
Dryft Wellesley,165 Linden St,,Wellesley,MA,02482,42.2996428,-71.2915507
Allison Gordon,4 Gloucester St,,Boston,MA,02115,42.3514049,-71.0854553
Angelo's Pizzeria & Ristorante,239 Stoneham Street,,Stoneham,MA,01801,42.4676625,-71.1422545
Asta,47 Massachusetts Ave,,Boston,MA,02115,42.3498495,-71.0892527
Bar Cicchetti,54 Devonshire St,,Boston,MA,02109,42.3582474,-71.0571837
Bar Mezzana,360 Harrison Avenue,,Boston,MA,02118,42.344587,-71.0635124
Black Lamb,571 Tremont Street,,Boston,MA,02172,42.3536453,-71.1781551
Shore Leave Jefferson Macklin,11 William E. Mullins Way,,Boston,MA,02118,42.345422,-71.064269
Bar Vlaha,1653 Beacon Street,,Brookline,MA,02445,42.3387473,-71.1365606
Bar25,38 State St.,,Newburyport,MA,01950,42.809221,-70.8706566
Baramor,45 Union St,,Newton,MA,02459,42.329682,-71.1924727
Barcelona Wine Bar-Brookline,1700 Beacon St.,,Brookline,MA,02446,42.3388163,-71.1387911
"Barcelona Cambridge, LLC",1688 Massachusetts Avenue,,Cambridge,MA,02138,42.3827376,-71.1198364
Barcelona Wine Bar-South End,525 Tremont St.,,Boston,MA,02118,42.3445753,-71.0708642
XOXO Sushi Bar,1154 Boylston St,,Brookline,MA,02467,42.3235935,-71.1624344
Beau's Seafood,9 Fish Pier St E.,,Boston,MA,02210,42.348683,-71.039644
Bella Ravioli Michael,369 Main Street,,Medford,MA,02155,42.4054217,-71.1083092
Bernadette,65 Washington St.,,Salem,MA,01970,42.5206186,-70.8954843
BG Catering Concepts,31 Antwerp Street,,Brighton,MA,02135,42.3593854,-71.1400391
Bubble Bath,100 High Street Place ,,Boston,MA,02110,42.3542394,-71.0554727
Charming Gardener,100 High Street Place ,,Boston,MA,02110,42.3542394,-71.0554727
Dive Bar,100 High Street Place ,,Boston,MA,02110,42.3542394,-71.0554727
Fool's Errand,1377 Boylston St,,Boston,MA,02215,42.3439541,-71.1009542
Sweet Cheeks Fenway Triangle,1381 Boylston St,,Boston,MA,02215,42.343909,-71.1011137
Tenderonis - FENWAY,1363 Boylston St.,,Boston,MA,02215,42.3440772,-71.1004466
Billies on Broad,20 Broad St,,Nantucket,MA,02554,41.2849556,-70.0999963
Black & Blue Steak and Crab Burlington,400 District Ave,,Burlington,MA,01803,42.4838217,-71.211184
Black & Blue Steak and Crab,65 Central St.,,Wellesley,MA,02482,42.2962501,-71.2964958
Bobby Driscoll,200 Falcon St.,,Boston,MA,02128,42.3820968,-71.030692
Boston Chops- South End,1375 Washington St,,Boston,MA,02145,42.3821276,-71.0810089
Deuxave,371 Commonwealth Avenue,,Boston,MA,02115,42.3494485,-71.089041
Boston Ale House,1885 Centre St,,West Roxbury,MA,02132,42.2859268,-71.1558467
